,feature,impact,risk_score,correlation,risk_correlation
88,sin_or_cos<double>.lm,0.0,0.0,0.0,0.0
89,fft1D_512_Pipeline_twiddles.lm,0.0,0.0,0.0,0.0
53,loop7.unr,1.461458196497434e-05,8.59590228316627e-06,-0.5607753008472525,-4.820369688896149e-06
67,loop9.unr,1.702003061711919e-05,1.2814399353697431e-05,-0.6115114386710103,-7.836151784484381e-06
60,loop8.unr,4.7837242358735656e-05,3.0093240968409927e-05,-0.6083383705403316,-1.8306873175000045e-05
25,loop3.unr,4.99805774824588e-05,3.2723362449866e-05,-0.6140833308927601,-2.0094871411224782e-05
47,loop6.unr.factor,0.0002310481152007292,0.0001030700443515487,-0.8169747215448777,-8.42056207837247e-05
61,loop8.unr.factor,0.0002573408669607002,0.0001509852300615152,-0.5599497742711529,-8.454414549122353e-05
11,loop1.unr,0.0002085244202035825,0.00013922860630949743,-0.672201924073197,-9.358973704727383e-05
18,loop2.unr,0.00021156407186320646,0.00013361878894481075,-0.7816092264463287,-0.00010443767826584879
32,loop4.unr,0.0005639550703919658,0.00035792734022144164,-0.4485055543825859,-0.0001605324001547021
7,data_y.ap.factor,0.001305256679234916,0.0007804033330446537,-0.4081521483967564,-0.0003185232969981648
4,data_x.ap,0.001471290962668589,0.0008802864127593464,-0.4980860293028875,-0.00043845836398058555
6,data_y.ap,0.0012108658551949804,0.0007790667085156663,-0.5993216043716393,-0.0004669115096601414
82,loop11.unr.factor,0.0015607858374447974,0.000815615346880373,-0.573406555557043,-0.00046767918671413746
22,loop2.pipe.off,0.00034347493680126257,0.0009901437722639155,-0.5964339809318966,-0.0005905553917862924
54,loop7.unr.factor,0.0016219934331639198,0.0008541605500637223,-0.7404833988087269,-0.0006324917072395168
81,loop11.unr,0.001465185626370306,0.0010056200458765736,-0.8595003299240436,-0.0008643307612091469
75,loop10.unr.factor,0.0037782965460399927,0.0022097212327785434,-0.6025742296973506,-0.0013315210696874108
12,loop1.unr.factor,0.00649650220558811,0.004301211950674119,-0.42382385342512496,-0.0018229562233329037
74,loop10.unr,0.01041939015190997,0.006137805409341097,-0.6047367654966528,-0.003711756590492794
46,loop6.unr,0.009428595836555795,0.006062541145900256,-0.9400172809957046,-0.005698893443893741
14,loop1.pipe,0.03482015013217862,0.01852616511189213,-0.9203497468718153,-0.01705055137123538
49,loop6.pipe,0.03713200866372706,0.022191423638285687,-0.9038795185014832,-0.020058373313036098
10,fft1D_512.lm,0.0,0.0,,
13,loop1.unr.full,0.0,0.0,,
15,loop1.pipe.off,0.0,0.0,,
20,loop2.unr.full,0.0,0.0,,
27,loop3.unr.full,0.0,0.0,,
29,loop3.pipe.off,0.0,0.0,,
34,loop4.unr.full,0.0,0.0,,
36,loop4.pipe.off,0.0,0.0,,
41,loop5.unr.full,0.0,0.0,,
50,loop6.pipe.off,0.0,0.0,,
55,loop7.unr.full,0.0,0.0,,
62,loop8.unr.full,0.0,0.0,,
69,loop9.unr.full,0.0,0.0,,
71,loop9.pipe.off,0.0,0.0,,
76,loop10.unr.full,0.0,0.0,,
85,loop11.pipe.off,0.0,0.0,,
